hip,hd,bayer,flam,con,mag,dist
81266,149438,Tau,23,Sco,2.82,145.3488
81290,150100,,16,Dra,5.53,130.8901
81292,150117,,17,Dra,5.07,126.4223
81300,149661,,12,Oph,5.77,9.7513
81354,149805,,33,Her,7.29,268.0965
81377,149757,Zet,13,Oph,2.54,112.2334
81497,150450,,42,Her,4.86,127.0648
81634,150379,,36,Her,6.92,93.1099
81641,150378,,37,Her,5.77,90.009
81660,151101,,18,Dra,4.84,225.7336
81693,150680,Zet,40,Her,2.81,10.7158
81710,149671,Eta-1,,TrA,5.89,202.8398
81717,150525,,38,Her,6.96,136.7989
81729,150682,,39,Her,5.92,43.7445
81734,150557,,14,Oph,5.74,55.5864
81833,150997,Eta,44,Her,3.48,33.3111
81852,149324,Bet,,Aps,4.23,48.1232
81991,151090,,41,Her,6.55,45.8716
82000,151237,,46,Her,7.14,215.9827
82007,150937,,15,Oph,6.98,92.4214
82037,151133,,16,Oph,6.02,153.1394
82073,151217,,43,Her,5.15,108.5776
82080,153751,Eps,22,UMi,4.21,93.1966
82140,151179,,25,Sco,6.72,216.4502
82162,151431,,19,Oph,6.07,166.113
82216,151525,,45,Her,5.22,120.6273
82273,150798,Alp,,TrA,1.91,119.7605
82321,152107,,52,Her,4.82,55.2486
82324,151937,,48,Her,6.59,242.7184
82363,151249,Eta,,Ara,3.77,91.7431
82369,151769,,20,Oph,4.64,31.9795
82396,151680,Eps,26,Sco,2.29,19.5351
82402,151956,,47,Her,5.48,54.407
82422,152173,,50,Her,5.73,327.8689
82480,152127,,21,Oph,5.51,116.144
82504,152326,,51,Her,5.03,214.1328
82514,151890,Mu-1,,Sco,3.0,153.6098
82526,152308,,49,Her,6.51,124.0695
82545,151985,Mu-2,,Sco,3.56,145.3488
82587,152598,,53,Her,5.34,29.1886
82671,152236,Zet-1,,Sco,4.7,787.4016
82673,152614,Iot,25,Oph,4.39,75.188
82729,152334,Zet-2,,Sco,3.62,40.568
82730,152601,,23,Oph,5.23,73.8007
82758,152534,,22,Oph,6.76,183.4862
82780,152863,,56,Her,6.06,136.7989
82802,152879,,54,Her,5.35,120.048
82860,153597,,19,Dra,4.88,15.2579
82898,153697,,20,Dra,6.4,69.9301
82925,152849,,24,Oph,5.57,93.1099
82960,152820,,27,Sco,5.48,290.6977
82987,153287,,57,Her,6.27,169.4915
83000,153210,Kap,27,Oph,3.19,28.0426
83081,152786,Zet,,Ara,3.12,149.0313
83153,152980,Eps-1,,Ara,4.06,110.6195
83196,153363,,26,Oph,5.74,33.7041
83207,153808,Eps,58,Her,3.92,47.5285
83262,153687,,30,Oph,4.82,124.2236
83313,154029,,59,Her,5.27,98.8142
83331,153727,,29,Oph,6.28,177.6199
83431,153580,Eps-2,,Ara,5.27,27.2257
83462,154356,,61,Her,6.19,229.8851
83508,154021,,28,Oph,6.66,151.0574
83566,154132,,31,Oph,6.6,82.6446
83608,154905,Mu,21,Dra,4.91,27.4348
83613,154494,,60,Her,4.89,40.8664
83876,155104,,62,Her,6.84,110.9878
83895,155763,Zet,22,Dra,3.17,100.7049
84012,155125,Eta,35,Oph,2.43,27.0929
84054,155514,,63,Her,6.2,82.3045
84143,155203,Eta,,Sco,3.32,22.5276
84177,155644,,37,Oph,5.32,334.4482
